"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0AI20","2020-04-12 00:00:00","25.000","272.000","2.900","18.300","0.910","1012.500","","10.000","-99.000","-99.000","-99.000","22.700","","16.600",""
"C0E740","2020-04-12 00:00:00","27.000","143.000","1.100","18.000","1.000","1006.600","","24.500","-99.000","-99.000","-99.000","22.200","","16.500",""
"C0R650","2020-04-12 00:00:00","29.000","19.000","1.500","23.300","0.970","1011.000","","0.000","-99.000","-99.000","-99.000","29.000","","20.100",""
"C0S750","2020-04-12 00:00:00","2280.000","330.000","1.700","10.200","0.970","772.300","","2.000","-99.000","-99.000","-99.000","15.900","","6.000",""
"C0A9C0","2020-04-12 00:00:00","35.000","0.000","0.100","19.000","0.930","1011.400","","12.500","-99.000","-99.000","-99.000","24.700","","17.800",""
"C0I370","2020-04-12 00:00:00","671.000","0.000","0.000","17.000","0.990","939.600","","6.500","-99.000","-99.000","-99.000","22.400","","15.000",""
"C0K400","2020-04-12 00:00:00","65.000","352.000","1.600","19.700","0.990","1007.800","","0.500","-99.000","-99.000","-99.000","27.300","","18.800",""
"C0A650","2020-04-12 00:00:00","287.000","243.000","0.600","16.900","1.000","981.800","","20.500","-99.000","-99.000","-99.000","24.700","","15.700",""
"C0U750","2020-04-12 00:00:00","398.000","304.000","4.500","15.200","1.000","967.700","","6.500","9.900","309.000","","20.200","","15.200",""
"C0M730","2020-04-12 00:00:00","40.000","31.000","0.700","21.600","0.850","1008.900","","0.000","-99.000","-99.000","-99.000","29.700","","19.400",""
"C0Z061","2020-04-12 00:00:00","174.000","0.000","0.000","20.300","0.990","996.100","","0.000","-99.000","-99.000","-99.000","27.400","","17.600",""
"C0M670","2020-04-12 00:00:00","43.000","13.000","2.100","20.400","0.920","1009.000","","0.000","-99.000","-99.000","-99.000","27.500","","19.200",""
"C0I530","2020-04-12 00:00:00","3014.000","222.000","7.700","5.200","1.000","700.600","","-99.000","14.200","207.000","","6.300","","2.500",""
"C0A880","2020-04-12 00:00:00","6.000","282.000","1.800","17.600","0.970","1012.500","","8.000","-99.000","-99.000","-99.000","24.400","","17.600",""
"C0S950","2020-04-12 00:00:00","415.000","234.000","0.900","19.300","0.940","964.900","","0.000","-99.000","-99.000","-99.000","22.300","","16.200",""
"C0V810","2020-04-12 00:00:00","32.000","328.000","1.900","22.300","0.840","1008.900","","0.000","-99.000","-99.000","-99.000","25.400","","21.400",""
"C0X310","2020-04-12 00:00:00","9.000","13.000","3.700","22.100","0.810","1013.600","","0.000","-99.000","-99.000","-99.000","25.800","","20.000",""
"C0K280","2020-04-12 00:00:00","23.000","10.000","2.200","20.000","0.990","1014.100","","0.500","-99.000","-99.000","-99.000","28.600","","18.600",""
"C0M650","2020-04-12 00:00:00","20.000","360.000","1.800","20.800","0.880","1012.400","","0.000","-99.000","-99.000","-99.000","28.400","","18.200",""
"C0S910","2020-04-12 00:00:00","212.000","276.000","5.200","23.200","0.990","989.200","","0.000","10.600","267.000","","26.300","","21.700",""
"C0D570","2020-04-12 00:00:00","15.000","0.000","0.000","18.000","1.000","1013.900","","14.000","-99.000","-99.000","-99.000","21.800","","17.400",""
"C0M710","2020-04-12 00:00:00","15.000","3.000","3.200","21.000","0.860","1012.700","","0.000","-99.000","-99.000","-99.000","25.600","","19.700",""
"C0V490","2020-04-12 00:00:00","20.000","349.000","2.100","23.100","0.800","1011.400","","0.000","-99.000","-99.000","-99.000","27.400","","22.400",""
"C0E870","2020-04-12 00:00:00","34.000","136.000","1.100","18.300","0.990","1013.100","","16.500","-99.000","-99.000","-99.000","22.200","","17.800",""
"C0M800","2020-04-12 00:00:00","440.000","77.000","0.300","20.100","0.880","964.600","","0.000","-99.000","-99.000","-99.000","26.600","","16.700",""
"C0A570","2020-04-12 00:00:00","360.000","0.000","0.000","16.100","0.990","974.100","","13.500","-99.000","-99.000","-99.000","21.900","","14.800",""
"C0S790","2020-04-12 00:00:00","236.000","359.000","0.600","20.300","0.910","986.900","","0.000","-99.000","-99.000","-99.000","26.700","","17.800",""
"C0D590","2020-04-12 00:00:00","143.000","187.000","0.900","17.500","0.990","1000.000","","16.500","-99.000","-99.000","-99.000","20.600","","16.100",""
"C0U990","2020-04-12 00:00:00","31.000","227.000","1.400","19.300","0.990","1011.100","","3.500","-99.000","-99.000","-99.000","24.300","","17.900",""
"C0M700","2020-04-12 00:00:00","150.000","355.000","1.100","20.200","0.970","997.700","","0.000","-99.000","-99.000","-99.000","28.200","","17.600",""
"C0A970","2020-04-12 00:00:00","96.000","309.000","3.700","17.200","0.990","1003.800","","7.000","-99.000","-99.000","-99.000","22.900","","16.100",""
"CM0110","2020-04-12 00:00:00","7.000","41.000","1.900","19.600","0.850","1014.400","","-99.000","-99.000","-99.000","-99.000","23.100","","19.100",""
"C0S940","2020-04-12 00:00:00","150.000","272.000","0.500","20.300","0.970","995.000","","0.000","-99.000","-99.000","-99.000","26.000","","18.900",""
"C0X250","2020-04-12 00:00:00","33.000","26.000","2.600","21.100","0.850","1010.100","","0.000","-99.000","-99.000","-99.000","28.200","","19.500",""
"C0K520","2020-04-12 00:00:00","10.000","3.000","1.500","20.000","0.950","1012.500","","0.500","-99.000","-99.000","-99.000","27.000","","19.400",""
"C0Z200","2020-04-12 00:00:00","153.000","0.000","0.200","19.500","0.990","996.600","","0.500","-99.000","-99.000","-99.000","24.300","","16.500",""
"C0V740","2020-04-12 00:00:00","60.000","320.000","2.200","21.900","0.900","1007.700","","0.000","-99.000","-99.000","-99.000","29.700","","19.100",""
"C0V790","2020-04-12 00:00:00","410.000","266.000","2.400","21.500","0.790","966.200","","0.000","-99.000","-99.000","-99.000","27.900","","18.500",""
"C0G860","2020-04-12 00:00:00","45.000","339.000","1.100","20.200","0.990","1008.500","","1.500","-99.000","-99.000","-99.000","27.000","","19.800",""
"C0Z250","2020-04-12 00:00:00","1124.000","299.000","1.200","14.900","0.990","889.000","","3.500","-99.000","-99.000","-99.000","17.300","","12.100",""
"C0K440","2020-04-12 00:00:00","35.000","345.000","2.900","19.200","0.990","1010.800","","1.000","-99.000","-99.000","-99.000","26.800","","19.200",""
"C0T900","2020-04-12 00:00:00","160.000","0.000","0.200","19.300","0.900","993.300","","0.500","-99.000","-99.000","-99.000","25.300","","17.300",""
